mean_abs_r,n_sig_pairs
0.12238960940644694,183
0.11509271461303643,172
0.13062259141094656,193
0.11986215390111478,175
0.12065660187431083,191
0.12247975551634317,186
0.13825544307114268,218
0.11836418782782003,176
0.13134719786515853,193
0.11597945899483042,186
0.11478910334548259,166
0.1252656180859662,197
0.11673326995947882,179
0.12795265931068966,197
0.12853862342290312,188
0.12236326304879554,177
0.12912997155885672,210
0.12719576787080583,193
0.1336875612453177,214
0.1269840523842487,195
0.12240995836294952,201
0.14375092588169291,215
0.12584019469041127,191
0.13090185282615482,193
0.11690867612332531,182
0.13034093609627745,189
0.1106466345961495,167
0.10455392254017434,160
0.12212866659709216,184
0.12933601775243206,201
0.1224627927821282,184
0.1436358211873669,228
0.12081900858500348,189
0.12650396390299218,199
0.11625825226430277,175
0.13031703969568756,204
0.11688650352197305,173
0.11944509868271977,181
0.13264376478761972,203
0.14053967025178118,205
0.12483635062722892,188
0.1219846674794586,194
0.12254445703828855,178
0.12332917703930092,166
0.137427517559168,204
0.10692727511466776,144
0.12917311541574533,196
0.11521891517187378,161
0.12293514823021069,174
0.11651783278456142,176
0.1198274749299696,186
0.12584098558230117,177
0.11018899398944328,164
0.11855335099624681,187
0.12541367385519842,184
0.1214460851650487,174
0.1320523909749052,203
0.12318979064157133,199
0.1259146181257277,184
0.13019819632480525,196
0.13310129149385,203
0.12139960533399156,176
0.11678842171648735,185
0.11831063762192963,174
0.11910740694799621,180
0.10950522901927763,153
0.13427002925247594,188
0.1272107192055454,190
0.11405442112946447,162
0.11913534955698571,194
0.12537441857437817,179
0.12311636775923925,184
0.12955239944186428,186
0.11808692422597593,173
0.12164161186090504,188
0.12025928982123349,182
0.12038240312128955,206
0.1189139026277259,186
0.12351911414427294,200
0.12162876977361087,183
0.13009289797714277,190
0.11800865145385664,170
0.1287715871109968,185
0.1271274787258713,203
0.11895118194449096,185
0.12353494366338896,191
0.11282516586263541,172
0.12309743541928093,183
0.12568549099821033,198
0.12642731193764783,188
0.11912854297587568,189
0.12206010721420672,169
0.13346561144277547,206
0.11701239855353489,175
0.12646865457499515,193
0.1008788384371083,131
0.1319871771099719,189
0.12849663375927692,196
0.1327291437100365,200
0.14100948234869468,211
0.1266602676314404,190
0.12356010260606623,182
0.11673693877692505,172
0.12617415418588868,193
0.11649057509523349,171
0.12874849637933372,192
0.1269282517768633,194
0.11598823741882797,178
0.11739971052089708,166
0.12123725149395757,183
0.11459689004508797,158
0.13223656269876646,203
0.11552688883499308,182
0.12518758314279851,179
0.11655075420021704,171
0.11242248205826172,154
0.11901595872647337,179
0.1265145652199977,194
0.12165551289139627,180
0.11401694371703182,170
0.12156346609567933,174
0.13078065033632877,202
0.12077980273352712,186
0.1284367490615655,186
0.13088876369522737,191
0.1231058140399314,178
0.11362239752567774,158
0.11610999791825058,159
0.12313461330212594,183
0.11849137714283411,181
0.11272623556090207,165
0.1278021978073943,194
0.1271331957417116,190
0.12158688904987036,186
0.119141405166942,182
0.12189514636505525,178
0.12680958749547117,191
0.12598754220058292,195
0.1289732876491892,194
0.12981021169891188,201
0.12169015554280037,179
0.11912108604325766,173
0.1274902402273838,191
0.11636026959424745,166
0.1146843478654411,184
0.12001358296829889,183
0.13075853515876457,207
0.1241168653708497,184
0.13631192928270153,216
0.11934546474177955,184
0.1258683012672543,181
0.11138285646882563,166
0.12578746589593676,184
0.12107933159586372,182
0.11763969667537506,174
0.12022095098942469,174
0.124673210453753,194
0.12238529280621967,186
0.12074656493309575,189
0.12674877961681744,192
0.11645271289246287,175
0.11780388134779793,181
0.11849977350454828,174
0.123328443023128,185
0.131347610595399,188
0.1106576809620765,162
0.11783422394539998,177
0.13088668104590834,197
0.11940815302465144,169
0.11734363792096941,185
0.12321366267824503,184
0.1339914642185603,205
0.11593884368949019,177
0.12246326423675766,177
0.12922140701379847,192
0.12249882249055007,172
0.1323539680588009,207
0.12573181540488784,177
0.11238550568435653,167
0.1302509512297854,203
0.1259616531332868,189
0.12781527823578961,198
0.11464416907930602,182
0.12892439765574615,193
0.1214197464332212,190
0.11891143764434778,189
0.13121731132682968,213
0.11159635470276016,157
0.1266065077472563,192
0.11017376386772548,150
0.12807717731238846,197
0.11842650591584632,184
0.11198147117567665,161
0.12243868076945,186
0.11150530810769485,160
0.1228292108773141,183
0.13245530448392875,214
0.12696165805605655,197
0.1330612119988564,199
0.12277136604357737,192
